"","Age_Categories","Sex_of_driver","Educational_level","Vehicle_driver_relation","Driving_experience","Lanes_or_Medians","Types_of_Junction","Road_surface_type","Light_conditions","Weather_conditions","Type_of_collision","Vehicle_movement","Pedestrian_movement","Cause_of_accident","Accident_severity"
"16","18-30","Female","Junior high school","Employee","Above 10yr","One way","Y Shape","Asphalt roads","Darkness - lights lit","Raining","Collision with animals","Going straight","Not a Pedestrian","No distancing",1
"17","18-30","Male","Junior high school","Owner","5-10yr","Undivided Two way","Y Shape","Asphalt roads","Darkness - lights lit","Raining","Collision with animals","Going straight","Not a Pedestrian","Moving Backward",2
"18","18-30","Male","Elementary school","Employee","2-5yr","other","Y Shape","Asphalt roads","Darkness - lights lit","Raining","Collision with animals","Going straight","Not a Pedestrian","Changing lane to the right",1
"19","18-30","Male","Junior high school","Employee","2-5yr","other","Y Shape","Asphalt roads","Darkness - lights lit","Raining","Collision with animals","Moving Backward","Not a Pedestrian","No priority to pedestrian",2
"20","18-30","Male","Junior high school","Employee","Below 1yr","One way","Y Shape","Asphalt roads","Daylight","Normal","Collision with animals","Going straight","Not a Pedestrian","Moving Backward",1
"21","Under 18","Male","Junior high school","Employee","2-5yr","One way","Y Shape","Asphalt roads","Daylight","Normal","Collision with animals","Going straight","Not a Pedestrian","Getting off the vehicle improperly",2
"22","18-30","Male","Junior high school","Employee","2-5yr","Undivided Two way","Crossing","Asphalt roads","Daylight","Normal","Collision with animals","Moving Backward","Not a Pedestrian","Overtaking",1
"23","18-30","Male","Elementary school","Employee","5-10yr","other","Y Shape","Asphalt roads","Daylight","Normal","Other","Getting off","Not a Pedestrian","Overloading",1
"24","31-50","Male","Junior high school","Employee","Above 10yr","Undivided Two way","Y Shape","Asphalt roads","Daylight","Normal","Rollover","Reversing","Not a Pedestrian","Changing lane to the right",1
"25","18-30","Male","Junior high school","Unknown","5-10yr","other","Crossing","Asphalt roads with some distress","Daylight","Normal","Collision with animals","Turnover","Not a Pedestrian","Improper parking",2
"26","18-30","Male","Junior high school","Employee","2-5yr","other","Crossing","Asphalt roads","Daylight","Normal","Rollover","Going straight","Not a Pedestrian","Other",2
"27","18-30","Unknown","Junior high school","Employee","5-10yr","Double carriageway (median)","Crossing","Asphalt roads","Daylight","Normal","Collision with animals","Going straight","Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle","Changing lane to the left",2
"28","18-30","Male","Above high school","Employee","2-5yr","Undivided Two way","No junction","Asphalt roads","Daylight","Normal","Collision with animals","Going straight","Not a Pedestrian","Changing lane to the right",2
"29","Over 51","Unknown","Junior high school","Unknown","5-10yr","other","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No priority to pedestrian",2
"30","18-30","Male","Junior high school","Employee","1-2yr","other","No junction","Asphalt roads","Daylight","Normal","Fall from vehicles","Going straight","Not a Pedestrian","Overspeed",2
"31","18-30","Male","Junior high school","Employee","2-5yr","Two-way (divided with solid lines road marking)","Crossing","Asphalt roads","Daylight","Normal","Collision with roadside-parked vehicles","Going straight","Not a Pedestrian","Changing lane to the left",2
"32","18-30","Male","Junior high school","Employee","Above 10yr","Undivided Two way","No junction","Asphalt roads","Daylight","Normal","Collision with roadside-parked vehicles","Moving Backward","Not a Pedestrian","No priority to vehicle",2
"33","18-30","Male","Junior high school","Employee","Below 1yr","Undivided Two way","No junction","Asphalt roads","Daylight","Normal","Rollover","Reversing","Not a Pedestrian","Changing lane to the right",2
"34","31-50","Unknown","Junior high school","Employee","2-5yr","other","No junction","Asphalt roads","Daylight","Normal","Collision with animals","Turnover","Not a Pedestrian","No distancing",2
"35","Over 51","Male","Junior high school","Employee","Below 1yr","Undivided Two way","O Shape","Asphalt roads","Daylight","Normal","Collision with animals","Going straight","Not a Pedestrian","No priority to pedestrian",2
"36","18-30","Male","High school","Employee","5-10yr","Undivided Two way","O Shape","Asphalt roads","Daylight","Normal","Fall from vehicles","Going straight"," or other","No distancing",2
"37","18-30","Male","Above high school","Employee","1-2yr","Double carriageway (median)","Crossing","Asphalt roads","Darkness - lights lit","Normal","Collision with roadside-parked vehicles","Going straight","Not a Pedestrian","No priority to vehicle",2
"38","Over 51","Male","Junior high school","Employee","Below 1yr","Undivided Two way","Crossing","Asphalt roads","Darkness - lights lit","Normal","Collision with animals","Going straight","Not a Pedestrian","Other",2
"39","Over 51","Male","Junior high school","Unknown","5-10yr","other","Crossing","Asphalt roads","Darkness - lights lit","Normal","Collision with animals","Going straight","Not a Pedestrian","Driving carelessly",2
"40","Over 51","Male","High school","Employee","Below 1yr","other","No junction","Asphalt roads","Daylight","Normal","Collision with pedestrians","Going straight","Not a Pedestrian","Changing lane to the left",2
"41","31-50","Male","High school","Employee","Below 1yr","other","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving carelessly",2
"42","31-50","Male","Junior high school","Unknown","5-10yr","other","No junction","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the left",2
"43","18-30","Male","High school","Employee","2-5yr","Undivided Two way","No junction","Asphalt roads","Darkness - lights lit","Normal","Collision with pedestrians","Going straight","Not a Pedestrian","No priority to vehicle",2
"44","18-30","Male","Junior high school","Employee","Above 10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle","No distancing",2
"45","18-30","Male","Junior high school","Employee","Above 10yr","Two-way (divided with broken lines road marking)","Y Shape","Gravel roads","Daylight","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","Changing lane to the right",2
"46","31-50","Male","Junior high school","Employee","5-10yr","Undivided Two way","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",1
"47","31-50","Male","Junior high school","Employee","1-2yr","Undivided Two way","Crossing","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving at high speed",2
"48","31-50","Male","Junior high school","Employee","Below 1yr","Two-way (divided with broken lines road marking)","Crossing","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No distancing",2
"49","18-30","Male","Junior high school","Employee","Below 1yr","Two-way (divided with broken lines road marking)","Crossing","Asphalt roads","Daylight","Normal","Rollover","Going straight","Not a Pedestrian","Changing lane to the right",2
"50","18-30","Male","High school","Employee","2-5yr","Undivided Two way","Crossing","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the left",2
"51","18-30","Male","Junior high school","Owner","1-2yr","Two-way (divided with broken lines road marking)","Other","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Getting off the vehicle improperly",2
"52","31-50","Male","Junior high school","Employee","5-10yr","Undivided Two way","Other","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Other",2
"53","Over 51","Male","Elementary school","Employee","2-5yr","Double carriageway (median)","No junction","Asphalt roads","Daylight","Normal","Collision with pedestrians","Going straight","Not a Pedestrian","Other",2
"54","31-50","Male","Elementary school","Owner","5-10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No distancing",2
"55","31-50","Male","Junior high school","Employee","Above 10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","No priority to vehicle",2
"56","18-30","Unknown","Junior high school","Employee","5-10yr","Undivided Two way","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Overtaking",2
"57","18-30","Male","High school","Employee","5-10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Rollover","Going straight","Not a Pedestrian","No priority to pedestrian",2
"58","31-50","Male","Junior high school","Employee","5-10yr","Double carriageway (median)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No distancing",2
"59","18-30","Unknown","Junior high school","Employee","Above 10yr","Two-way (divided with broken lines road marking)","Unknown","Asphalt roads","Daylight","Raining","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",2
"60","Over 51","Male","Junior high school","Unknown","1-2yr","Two-way (divided with broken lines road marking)","Unknown","Gravel roads","Daylight","Raining","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving carelessly",2
"61","18-30","Male","Junior high school","Employee","2-5yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",2
"62","31-50","Male","Junior high school","Employee","1-2yr","Double carriageway (median)","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Overtaking",2
"63","31-50","Male","Junior high school","Unknown","5-10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","Other",2
"64","31-50","Male","Elementary school","Employee","5-10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving to the left",2
"65","18-30","Female","Junior high school","Employee","5-10yr","One way","No junction","Earth roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving at high speed",2
"66","31-50","Male","Junior high school","Employee","Above 10yr","Undivided Two way","No junction","Asphalt roads","Daylight","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","Unknown",2
"67","31-50","Unknown","Junior high school","Employee","2-5yr","Undivided Two way","O Shape","Asphalt roads","Daylight","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","Changing lane to the right",2
"68","18-30","Male","Junior high school","Owner","Above 10yr","other","O Shape","Unknown","Daylight","Normal","Vehicle with vehicle collision","Unknown","Not a Pedestrian","No distancing",2
"69","18-30","Male","Junior high school","Employee","2-5yr","Two-way (divided with broken lines road marking)","No junction","Gravel roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Other",2
"70","31-50","Male","Elementary school","Other","5-10yr","Undivided Two way","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No priority to vehicle",2
"71","18-30","Male","Elementary school","Employee","5-10yr","Two-way (divided with broken lines road marking)","Crossing","Unknown","Darkness - lights lit","Normal","Vehicle with vehicle collision","Reversing","Not a Pedestrian","Changing lane to the left",2
"72","31-50","Male","Junior high school","Unknown","5-10yr","Double carriageway (median)","Crossing","Asphalt roads","Darkness - lights lit","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","No priority to pedestrian",2
"73","31-50","Male","Junior high school","Employee","5-10yr","Undivided Two way","No junction","Earth roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Overtaking",2
"74","31-50","Male","Elementary school","Employee","Above 10yr","Undivided Two way","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving carelessly",2
"75","31-50","Male","Junior high school","Unknown","Below 1yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No priority to vehicle",2
"76","31-50","Male","Junior high school","Employee","5-10yr","Double carriageway (median)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No priority to pedestrian",2
"77","Over 51","Male","Elementary school","Employee","1-2yr","Undivided Two way","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Turnover","Not a Pedestrian","Changing lane to the right",1
"78","Over 51","Unknown","Junior high school","Unknown","5-10yr","other","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving carelessly",2
"79","31-50","Male","Junior high school","Employee","Above 10yr","Two-way (divided with broken lines road marking)","Y Shape","Earth roads","Darkness - lights lit","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","Changing lane to the right",2
"80","Under 18","Male","High school","Owner","2-5yr","Undivided Two way","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",2
"81","31-50","Male","Junior high school","Employee","1-2yr","Undivided Two way","Crossing","Asphalt roads","Darkness - lights lit","Normal","Collision with pedestrians","Going straight","Not a Pedestrian","Changing lane to the left",1
"82","31-50","Male","Junior high school","Employee","1-2yr","Double carriageway (median)","Crossing","Asphalt roads","Darkness - lights lit","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","Overturning",1
"83","Over 51","Male","Above high school","Owner","2-5yr","Undivided Two way","Unknown","Asphalt roads","Daylight","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","Driving carelessly",2
"84","Over 51","Male","Junior high school","Unknown","5-10yr","Undivided Two way","Unknown","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Turnover","Not a Pedestrian","No distancing",2
"85","Over 51","Unknown","Elementary school","Owner","2-5yr","other","Crossing","Asphalt roads","Darkness - lights lit","Normal","Rollover","Going straight","Not a Pedestrian","Driving carelessly",2
"86","Over 51","Male","Junior high school","Employee","1-2yr","Two-way (divided with broken lines road marking)","Crossing","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the left",2
"87","31-50","Male","Junior high school","Owner","5-10yr","Two-way (divided with broken lines road marking)","Crossing","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Reversing","Not a Pedestrian","No priority to vehicle",2
"88","18-30","Unknown","Junior high school","Employee","Below 1yr","Undivided Two way","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",1
"89","18-30","Male","Junior high school","Employee","2-5yr","Double carriageway (median)","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No distancing",1
"90","31-50","Male","Junior high school","Employee","5-10yr","Double carriageway (median)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Reversing","Not a Pedestrian","Moving Backward",0
"91","31-50","Male","Junior high school","Employee","Above 10yr","Two-way (divided with broken lines road marking)","No junction","Earth roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Moving Backward",0
"92","18-30","Male","Elementary school","Employee","2-5yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Moving Backward","Not a Pedestrian","No distancing",2
"93","18-30","Male","Elementary school","Owner","Above 10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Moving Backward","Not a Pedestrian","No distancing",2
"94","Over 51","Male","Junior high school","Employee","1-2yr","Two-way (divided with broken lines road marking)","Crossing","Asphalt roads","Daylight","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","No distancing",2
"95","Over 51","Male","Junior high school","Employee","5-10yr","Double carriageway (median)","Crossing","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No priority to pedestrian",2
"96","18-30","Male","Junior high school","Employee","2-5yr","Double carriageway (median)","Y Shape","Other","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving carelessly",2
"97","18-30","Male","Junior high school","Employee","2-5yr","Two-way (divided with broken lines road marking)","Y Shape","Gravel roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",2
"98","31-50","Male","Junior high school","Employee","2-5yr","Two-way (divided with broken lines road marking)","Y Shape","Gravel roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the left",2
"99","18-30","Unknown","Junior high school","Employee","2-5yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Darkness - lights lit","Normal","Collision with pedestrians","Going straight","Not a Pedestrian","Driving carelessly",2
"100","Over 51","Male","Junior high school","Employee","Above 10yr","other","No junction","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving carelessly",2
"101","18-30","Male","Junior high school","Employee","Above 10yr","Two-way (divided with broken lines road marking)","Y Shape","Earth roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No distancing",2
"102","31-50","Male","Elementary school","Employee","5-10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Other",2
"103","18-30","Male","Junior high school","Employee","5-10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",2
"104","18-30","Male","Junior high school","Employee","2-5yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",2
"105","18-30","Male","Elementary school","Employee","5-10yr","Two-way (divided with broken lines road marking)","Crossing","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Parked","Not a Pedestrian","No distancing",2
"106","Over 51","Male","Junior high school","Employee","5-10yr","Two-way (divided with broken lines road marking)","Crossing","Earth roads","Daylight","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","No distancing",2
"107","31-50","Unknown","Junior high school","Employee","Above 10yr","Undivided Two way","Crossing","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Overturning",2
"108","Under 18","Male","Junior high school","Employee","5-10yr","Undivided Two way","No junction","Asphalt roads","Darkness - no lighting","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving at high speed",1
"109","Under 18","Male","Junior high school","Employee","Above 10yr","One way","No junction","Asphalt roads","Darkness - no lighting","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No priority to vehicle",1
"110","Under 18","Male","Elementary school","Employee","Below 1yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Darkness - no lighting","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No priority to pedestrian",1
"111","Under 18","Male","Elementary school","Employee","5-10yr","One way","No junction","Asphalt roads","Darkness - no lighting","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No priority to vehicle",1
"112","Over 51","Male","Elementary school","Employee","1-2yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Darkness - lights unlit","Normal","Vehicle with vehicle collision","Turnover","Not a Pedestrian","Other",2
"113","31-50","Unknown","Elementary school","Employee","5-10yr","Double carriageway (median)","Y Shape","Asphalt roads","Darkness - lights unlit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Other",2
"114","31-50","Male","Elementary school","Employee","5-10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Darkness - lights unlit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Moving Backward",2
"115","18-30","Male","Elementary school","Employee","2-5yr","Two-way (divided with broken lines road marking)","Crossing","Asphalt roads","Daylight","Normal","Rollover","Unknown","Not a Pedestrian","No distancing",2
"116","31-50","Male","Elementary school","Employee","5-10yr","other","Crossing","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Moving Backward","Not a Pedestrian","Moving Backward",2
"117","31-50","Unknown","Junior high school","Unknown","5-10yr","Two-way (divided with broken lines road marking)","Crossing","Earth roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No priority to vehicle",2
"118","18-30","Male","Junior high school","Employee","Above 10yr","One way","No junction","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Moving Backward","Not a Pedestrian","Driving carelessly",2
"119","18-30","Female","Junior high school","Employee","Above 10yr","Undivided Two way","Crossing","Asphalt roads","Darkness - lights lit","Normal","Collision with roadside objects","Turnover","Not a Pedestrian","No distancing",2
"120","18-30","Unknown","Elementary school","Employee","Below 1yr","Two-way (divided with broken lines road marking)","Crossing","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Other",2
"121","18-30","Male","Elementary school","Employee","5-10yr","Two-way (divided with broken lines road marking)","Crossing","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",2
"122","18-30","Male","Elementary school","Owner","5-10yr","Two-way (divided with broken lines road marking)","Crossing","Earth roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Unknown","Not a Pedestrian","No distancing",2
"123","31-50","Male","Elementary school","Employee","2-5yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Darkness - lights lit","Raining","Collision with roadside objects","Going straight","Not a Pedestrian","Driving carelessly",2
"124","18-30","Male","Elementary school","Employee","Above 10yr","other","No junction","Asphalt roads","Darkness - lights lit","Raining","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No distancing",2
"125","18-30","Male","Elementary school","Employee","2-5yr","other","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No priority to vehicle",2
"126","31-50","Male","Junior high school","Employee","Above 10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",2
"127","18-30","Male","Junior high school","Employee","Below 1yr","Undivided Two way","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Reversing","Not a Pedestrian","No priority to pedestrian",2
"128","18-30","Male","Junior high school","Employee","2-5yr","other","Other","Asphalt roads","Daylight","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","No priority to vehicle",1
"129","Under 18","Unknown","Elementary school","Employee","5-10yr","other","Crossing","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the left",2
"130","Over 51","Male","Elementary school","Employee","5-10yr","Undivided Two way","Crossing","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Turnover",2
"131","31-50","Male","Elementary school","Employee","1-2yr","other","No junction","Other","Daylight","Normal","Vehicle with vehicle collision","Turnover","Not a Pedestrian","Driving to the left",2
"132","18-30","Male","Elementary school","Employee","5-10yr","Undivided Two way","No junction","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Reversing","Not a Pedestrian","Driving carelessly",2
"133","18-30","Male","Junior high school","Employee","1-2yr","Undivided Two way","No junction","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving to the left",2
"134","18-30","Male","Junior high school","Employee","5-10yr","Double carriageway (median)","No junction","Asphalt roads","Darkness - lights lit","Normal","Collision with pedestrians","Going straight","Not a Pedestrian","Driving carelessly",2
"135","31-50","Male","Elementary school","Owner","1-2yr","other","Crossing","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Turnover","Not a Pedestrian","No priority to pedestrian",2
"136","Under 18","Male","Junior high school","Employee","5-10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Darkness - lights lit","Raining","Vehicle with vehicle collision","Moving Backward","Not a Pedestrian","Driving carelessly",2
"137","18-30","Male","Junior high school","Employee","2-5yr","other","Y Shape","Asphalt roads","Darkness - lights lit","Raining","Collision with roadside objects","Going straight","Not a Pedestrian","Changing lane to the right",2
"138","31-50","Male","Junior high school","Employee","2-5yr","other","No junction","Asphalt roads","Darkness - no lighting","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Moving Backward",1
"139","18-30","Unknown","Junior high school","Employee","5-10yr","Two-way (divided with broken lines road marking)","Crossing","Earth roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving carelessly",2
"140","31-50","Male","Junior high school","Owner","Below 1yr","other","No junction","Asphalt roads","Darkness - lights lit","Normal","Collision with pedestrians","Reversing","Not a Pedestrian","Changing lane to the right",2
"141","31-50","Male","High school","Employee","Below 1yr","Undivided Two way","Crossing","Asphalt roads","Darkness - lights lit","Raining","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving carelessly",1
"142","31-50","Male","Junior high school","Employee","5-10yr","Undivided Two way","Crossing","Asphalt roads","Darkness - lights lit","Raining","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving carelessly",1
"143","Under 18","Male","Junior high school","Employee","Below 1yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Darkness - lights lit","Normal","Collision with pedestrians","Going straight","Not a Pedestrian","Driving carelessly",1
